4243 , Jessica , Aguilar , 200 , 97 , PG , 40 , 6.56 , 1.15 , 5.5 , 2.1 , 4.24 , 3.76
4763 , Angela , Mccormick , 208 , 94 , PF , 18 , 26.79 , 3.03 , 6.28 , 1.65 , 4.62 , 1.24
3042 , Marcus , Wilson , 222 , 92 , SG , 22 , 21.03 , 12.47 , 9.18 , 4.19 , 1.35 , 4.68
3777 , John , Owens , 222 , 112 , PG , 32 , 4.55 , 14.82 , 12.36 , 1.45 , 2.69 , 1.54
2411 , Ann , Newman , 190 , 119 , PG , 28 , 39.07 , 13.4 , 7.66 , 3.03 , 1.33 , 3.43
3689 , Mr. , Smith , 212 , 118 , PG , 48 , 19.59 , 6.38 , 1.37 , 3.91 , 4.87 , 4.91
3069 , Abigail , Brown , 212 , 96 , SG , 40 , 37.7 , 13.13 , 5.63 , 2.24 , 2.01 , 2.34
2133 , Carly , Wise , 193 , 112 , C , 50 , 8.0 , 6.33 , 11.31 , 1.13 , 1.1 , 3.7
1160 , Brenda , Drake , 172 , 104 , SF , 31 , 31.1 , 2.44 , 7.6 , 1.71 , 3.78 , 1.15
8705 , Christopher , Williams , 187 , 111 , C , 40 , 24.48 , 11.16 , 7.17 , 2.47 , 2.36 , 2.82
3504 , Gregory , Patton , 214 , 110 , C , 33 , 38.28 , 3.35 , 12.09 , 2.46 , 1.76 , 3.99
4827 , Robert , Briggs , 228 , 118 , PG , 18 , 37.96 , 13.82 , 10.62 , 1.72 , 4.18 , 3.01
491 , Caleb , Moreno , 185 , 119 , PG , 25 , 39.37 , 14.98 , 7.04 , 1.1 , 2.29 , 4.15
7071 , Karina , Reed , 223 , 97 , PF , 25 , 9.95 , 8.38 , 6.73 , 3.51 , 2.05 , 4.79
2069 , Rhonda , Moore , 227 , 90 , PF , 46 , 12.36 , 13.22 , 4.34 , 4.78 , 3.06 , 3.78
9968 , Michelle , Foster , 215 , 93 , SF , 36 , 21.32 , 1.4 , 1.04 , 1.11 , 3.23 , 2.06
236 , Dustin , Cantu , 178 , 95 , SF , 30 , 17.98 , 14.71 , 7.72 , 3.5 , 4.68 , 4.85
4519 , Emily , Jones , 218 , 82 , SG , 44 , 17.82 , 2.3 , 5.86 , 1.8 , 3.23 , 4.92
2403 , Dakota , Mason , 210 , 104 , C , 28 , 1.67 , 10.94 , 11.85 , 4.19 , 4.59 , 4.64
1391 , Heather , Thompson , 204 , 92 , SG , 42 , 31.9 , 10.94 , 3.27 , 2.08 , 4.17 , 3.75
4299 , Elizabeth , Ayala , 201 , 119 , SG , 25 , 9.26 , 9.39 , 9.15 , 3.32 , 1.29 , 2.42
7390 , Felicia , Kirby , 175 , 101 , PG , 27 , 27.77 , 11.09 , 4.73 , 1.72 , 3.71 , 3.55
7155 , Frederick , Chang , 197 , 103 , PG , 29 , 2.16 , 7.83 , 6.32 , 1.72 , 3.67 , 2.37
2285 , Daniel , Carson , 185 , 100 , PF , 24 , 37.81 , 1.11 , 5.32 , 2.12 , 1.81 , 2.73
4205 , Shannon , Henderson , 184 , 113 , SF , 27 , 20.54 , 10.77 , 2.95 , 2.86 , 3.43 , 4.37
5828 , Sarah , Jenkins , 185 , 109 , C , 47 , 31.63 , 1.69 , 10.27 , 2.63 , 3.8 , 4.17
3834 , Destiny , Moran , 203 , 108 , SG , 21 , 38.92 , 8.75 , 9.17 , 2.4 , 3.93 , 2.29
7975 , Amy , Martin , 201 , 103 , SF , 37 , 7.64 , 7.68 , 10.61 , 1.54 , 2.98 , 2.72
9006 , Benjamin , Mendoza , 193 , 98 , C , 44 , 37.51 , 9.38 , 5.67 , 4.49 , 4.59 , 2.28
9242 , John , Harris , 178 , 96 , SG , 20 , 33.86 , 9.52 , 10.41 , 2.65 , 3.47 , 2.05
7038 , Tara , Solis , 196 , 104 , C , 49 , 16.0 , 6.59 , 10.69 , 1.68 , 1.82 , 2.02
5967 , Mary , Brown , 187 , 113 , SG , 21 , 34.87 , 10.14 , 9.9 , 3.86 , 4.92 , 4.66
7042 , Taylor , Forbes , 219 , 88 , PF , 37 , 33.49 , 3.96 , 11.56 , 1.1 , 2.23 , 1.05
5140 , Michael , Lee , 180 , 92 , SF , 28 , 8.68 , 12.32 , 12.12 , 4.93 , 4.09 , 3.18
1922 , Diana , Cook , 171 , 118 , C , 24 , 15.22 , 7.98 , 3.4 , 1.39 , 1.02 , 1.51
5668 , Derek , Holloway , 195 , 112 , PF , 49 , 25.79 , 7.54 , 8.61 , 2.55 , 2.66 , 3.07
9743 , Chad , Dickson , 215 , 97 , SG , 19 , 37.07 , 7.88 , 11.27 , 3.76 , 4.83 , 3.73
4307 , Wanda , Jones , 197 , 115 , SF , 43 , 38.54 , 6.25 , 1.86 , 4.67 , 2.39 , 1.93
7346 , Elizabeth , Gordon , 197 , 85 , PF , 21 , 33.64 , 14.06 , 1.37 , 3.75 , 3.26 , 4.69
9080 , Rita , Martin , 216 , 81 , SG , 32 , 23.9 , 12.25 , 8.55 , 2.84 , 2.35 , 3.6
2209 , Dr. , Rush , 223 , 100 , C , 33 , 16.24 , 10.18 , 5.05 , 1.23 , 4.19 , 3.74
