3899 , 27 , 1999-12-29 11:14:23 , Lakers
1428 , 24 , 1977-12-14 08:02:59 , Lakers
6739 , 30 , 1970-07-06 04:50:18 , Lakers
5831 , 28 , 1976-03-02 23:00:50 , Lakers
2795 , 30 , 2009-08-15 08:16:44 , Lakers
6667 , 25 , 1972-05-18 02:16:10 , Lakers
7291 , 22 , 2015-09-13 19:13:13 , Lakers
3928 , 26 , 2017-03-01 18:45:02 , Lakers
1228 , 20 , 1975-09-18 07:06:11 , Lakers
9745 , 25 , 1976-09-12 07:02:14 , Lakers
7825 , 27 , 1994-02-18 12:22:44 , Lakers
7759 , 24 , 1986-02-11 22:32:04 , Lakers
1241 , 30 , 1971-03-10 04:14:09 , Lakers
943 , 27 , 1972-02-05 21:16:32 , Lakers
9001 , 29 , 1971-01-29 17:10:48 , Lakers
2591 , 23 , 1993-07-21 02:06:33 , Lakers
414 , 28 , 2014-02-12 23:34:29 , Lakers
5539 , 20 , 2012-05-31 17:53:01 , Lakers
4179 , 30 , 2002-12-14 23:56:22 , Lakers
879 , 29 , 2011-11-28 04:22:22 , Lakers
3657 , 22 , 2001-07-18 13:08:10 , Lakers
2088 , 27 , 1980-02-10 08:17:51 , Lakers
8537 , 25 , 1976-03-18 22:56:32 , Lakers
8718 , 22 , 1982-06-17 17:49:21 , Lakers
9369 , 25 , 2018-07-19 21:42:48 , Lakers
2646 , 23 , 1977-10-14 17:59:37 , Lakers
6436 , 20 , 1970-12-30 08:26:27 , Lakers
5919 , 29 , 2004-03-27 05:06:35 , Lakers
6076 , 23 , 2003-02-15 06:36:07 , Lakers
1936 , 21 , 1987-01-01 12:15:02 , Lakers
7295 , 28 , 1974-05-24 16:54:03 , Lakers
1857 , 30 , 2015-05-29 17:26:12 , Lakers
6115 , 25 , 2006-10-27 19:40:30 , Lakers
1195 , 30 , 2001-09-14 23:19:07 , Lakers
5064 , 26 , 1974-09-01 07:08:55 , Lakers
8690 , 21 , 2010-12-06 10:55:26 , Lakers
8104 , 20 , 2015-12-11 08:54:11 , Lakers
6567 , 20 , 1976-01-20 08:06:49 , Lakers
2008 , 30 , 2005-01-18 12:17:23 , Lakers
1103 , 28 , 2009-05-27 04:33:20 , Lakers
6589 , 23 , 1973-02-16 11:22:53 , Lakers
7963 , 21 , 1988-05-06 14:00:49 , Lakers
1086 , 26 , 2007-11-13 04:57:15 , Lakers
3580 , 27 , 1974-04-17 19:18:10 , Lakers
1293 , 21 , 2013-11-13 11:17:54 , Lakers
8232 , 30 , 1990-07-31 21:57:27 , Lakers
6729 , 26 , 2002-09-26 05:22:23 , Lakers
1734 , 22 , 1994-03-05 12:24:16 , Lakers
3940 , 28 , 1988-02-18 18:08:49 , Lakers
571 , 25 , 1986-12-15 17:01:39 , Lakers
5885 , 29 , 2014-08-10 02:05:21 , Lakers
8417 , 28 , 1983-08-12 19:52:03 , Lakers
3785 , 22 , 2000-11-08 00:29:12 , Lakers
7983 , 20 , 2006-01-29 05:28:44 , Lakers
6726 , 28 , 2015-04-13 21:27:04 , Lakers
6860 , 22 , 1971-04-25 16:38:17 , Lakers
5272 , 28 , 2004-07-29 22:36:19 , Lakers
6865 , 21 , 1974-10-21 11:35:01 , Lakers
3074 , 26 , 1970-05-24 16:02:48 , Lakers
6202 , 29 , 1992-09-11 10:30:53 , Lakers
4829 , 26 , 1979-10-14 09:12:16 , Lakers
1831 , 30 , 2018-04-26 11:26:24 , Lakers
4646 , 29 , 2002-03-06 04:14:54 , Lakers
6959 , 27 , 2014-09-25 15:13:52 , Lakers
1 , 27 , 1995-09-06 00:31:06 , Lakers
1650 , 29 , 1981-05-16 14:27:57 , Lakers
2972 , 26 , 1973-09-08 12:45:56 , Lakers
2877 , 28 , 1975-03-10 19:20:21 , Lakers
3145 , 20 , 2009-12-25 02:24:21 , Lakers
8611 , 30 , 2003-10-17 14:30:23 , Lakers
9543 , 21 , 1981-02-28 07:44:14 , Lakers
3100 , 23 , 1975-02-16 03:08:32 , Lakers
2099 , 30 , 2007-12-05 12:26:12 , Lakers
5479 , 24 , 1984-08-21 04:48:16 , Lakers
1584 , 25 , 1979-10-26 05:55:36 , Lakers
4141 , 25 , 1971-11-06 06:52:40 , Lakers
1603 , 26 , 1993-07-24 14:44:58 , Lakers
6501 , 30 , 1977-07-19 03:48:45 , Lakers
2149 , 24 , 2006-01-17 08:21:19 , Lakers
7797 , 21 , 1979-08-12 05:38:29 , Lakers
9896 , 24 , 2015-08-18 09:54:45 , Lakers
5370 , 23 , 1990-10-13 13:50:40 , Lakers
7389 , 25 , 2000-11-26 18:04:02 , Lakers
4524 , 25 , 1972-09-11 00:07:48 , Lakers
6992 , 25 , 1998-04-29 23:15:31 , Lakers
8230 , 28 , 1988-11-01 11:54:10 , Lakers
2043 , 29 , 2015-01-28 16:51:06 , Lakers
1585 , 28 , 1972-09-26 07:02:56 , Lakers
8427 , 22 , 1982-01-25 21:14:37 , Lakers
2335 , 20 , 1988-06-27 10:07:41 , Lakers
7147 , 26 , 1980-07-08 20:54:20 , Lakers
4421 , 26 , 1990-06-08 07:41:11 , Lakers
6160 , 20 , 1980-07-08 09:29:58 , Lakers
3925 , 28 , 2001-08-11 06:15:26 , Lakers
9631 , 20 , 1972-10-17 14:55:00 , Lakers
8183 , 23 , 2008-04-27 01:54:30 , Lakers
8603 , 30 , 1996-04-12 15:26:43 , Lakers
3517 , 26 , 1993-10-16 03:55:49 , Lakers
9675 , 20 , 2003-09-29 14:04:32 , Lakers
7029 , 26 , 1993-04-03 04:38:15 , Lakers
1549 , 23 , 2009-08-31 02:00:20 , Lakers
4922 , 29 , 2001-11-09 03:57:12 , Lakers
4964 , 21 , 2002-05-22 10:14:05 , Lakers
8676 , 28 , 1973-01-31 15:58:43 , Lakers
9269 , 23 , 2002-01-15 19:04:29 , Lakers
3738 , 22 , 2010-06-26 17:21:00 , Lakers
8460 , 21 , 1981-07-26 15:51:48 , Lakers
3412 , 24 , 1999-12-01 05:27:57 , Lakers
6117 , 20 , 2005-05-02 02:23:53 , Lakers
2614 , 26 , 1999-10-19 08:50:40 , Lakers
6936 , 24 , 1990-02-14 03:20:33 , Lakers
9609 , 27 , 1988-09-19 04:21:03 , Lakers
1782 , 25 , 1978-06-06 23:18:50 , Lakers
4540 , 29 , 1982-08-19 15:45:11 , Lakers
8625 , 30 , 1998-05-01 19:23:42 , Lakers
2802 , 20 , 1999-09-04 07:47:47 , Lakers
5679 , 28 , 1978-02-17 09:05:02 , Lakers
8368 , 27 , 2006-01-20 05:30:07 , Lakers
2917 , 25 , 1977-01-06 09:22:17 , Lakers
6017 , 23 , 2003-01-07 17:45:44 , Lakers
8797 , 25 , 1995-08-23 21:42:27 , Lakers
8016 , 24 , 2014-09-01 16:51:14 , Lakers
2048 , 27 , 1987-05-21 20:22:21 , Lakers
9145 , 27 , 2013-08-16 05:03:57 , Lakers
5221 , 27 , 1983-01-10 14:22:25 , Lakers
1908 , 23 , 1993-07-02 16:39:41 , Lakers
6230 , 22 , 1977-05-12 06:36:45 , Lakers
4811 , 27 , 2017-10-25 16:23:17 , Lakers
6333 , 28 , 2017-08-23 22:09:28 , Lakers
6483 , 25 , 1980-09-11 11:18:33 , Lakers
8758 , 22 , 2009-07-01 06:34:01 , Lakers
9864 , 23 , 1988-04-30 05:49:06 , Lakers
2642 , 23 , 1980-07-15 17:31:45 , Lakers
372 , 29 , 2019-01-02 21:04:21 , Lakers
3905 , 20 , 1992-01-06 09:05:54 , Lakers
8100 , 24 , 2000-05-25 01:25:49 , Lakers
4127 , 25 , 2019-01-16 16:48:40 , Lakers
